Tyear,GrpTyear,Site,Year,Date,Round,Quad,Image,Species,Len,Area
I14_2021_1,I14_2021,I14,2021,03/26,1,0,8775,GILANG,8.766,45.590
I14_2021_1,I14_2021,I14,2021,03/26,1,0,8776,GILANG,8.323,33.044
I14_2021_1,I14_2021,I14,2021,03/26,1,0,8778,GILANG,8.415,38.937
I14_2021_1,I14_2021,I14,2021,03/26,1,0,8779,GILANG,6.956,29.164
I15_2021_1,I15_2021,I15,2021,03/26,1,20,8782,CALCIL,13.546,66.285
I15_2021_1,I15_2021,I15,2021,03/26,1,20,8783,CALCIL,13.854,129.435
I15_2021_1,I15_2021,I15,2021,03/26,1,20,8784,CALCIL,12.342,102.337
I15_2021_1,I15_2021,I15,2021,03/26,1,20,8785,CALCIL,14.628,151.001
I15_2021_1,I15_2021,I15,2021,03/26,1,20,8787,CALCIL,12.482,116.010
I15_2021_1,I15_2021,I15,2021,03/26,1,20,8788,CALCIL,8.497,45.872
I15_2021_1,I15_2021,I15,2021,03/26,1,20,8789,CALCIL,9.624,61.225
I15_2021_1,I15_2021,I15,2021,03/26,1,20,8790,CALCIL,11.752,86.461
I15_2021_1,I15_2021,I15,2021,03/26,1,20,8791,CALCIL,8.082,34.491
I15_2021_1,I15_2021,I15,2021,03/26,1,20,8792,CALCIL,6.401,25.676
I15_2021_1,I15_2021,I15,2021,03/26,1,20,8793,CALCIL,6.188,30.539
I15_2021_1,I15_2021,I15,2021,03/26,1,20,8794,CALCIL,9.938,34.880
I15_2021_1,I15_2021,I15,2021,03/26,1,20,8795,CALCIL,10.759,85.761
I15_2021_1,I15_2021,I15,2021,03/26,1,20,8796,CALCIL,9.025,52.186
I15_2021_1,I15_2021,I15,2021,03/26,1,20,8798,CALCIL,7.276,32.350
I15_2021_1,I15_2021,I15,2021,03/26,1,25,8810,CALCIL,19.789,255.695
I15_2021_1,I15_2021,I15,2021,03/26,1,30,8812,GILANG,9.843,54.556
I15_2021_1,I15_2021,I15,2021,03/26,1,30,8813,GILANG,8.343,34.287
I15_2021_1,I15_2021,I15,2021,03/26,1,30,8814,GILANG,7.444,29.823
GYP02_2021_1,GYP02_2021,GYP02,2021,03/29,1,30,8848,EROCIC,9.730,50.360
GYP02_2021_1,GYP02_2021,GYP02,2021,03/29,1,30,8849,EROCIC,11.423,52.458
GYP02_2021_1,GYP02_2021,GYP02,2021,03/29,1,30,8850,EROCIC,9.875,40.965
GYP02_2021_1,GYP02_2021,GYP02,2021,03/29,1,30,8851,CAMMIC,5.643,12.212
GYP02_2021_1,GYP02_2021,GYP02,2021,03/29,1,30,8854,CAMMIC,5.524,14.416
GYP02_2021_1,GYP02_2021,GYP02,2021,03/29,1,30,8855,CAMMIC,5.166,9.792
GYP02_2021_1,GYP02_2021,GYP02,2021,03/29,1,30,8856,CAMMIC,6.358,28.380
SS03_2021_1,SS03_2021,SS03,2021,03/30,1,0,8895,EROCIC,9.869,50.950
SS03_2021_1,SS03_2021,SS03,2021,03/30,1,0,8896,EROCIC,10.615,59.415
SS03_2021_1,SS03_2021,SS03,2021,03/30,1,0,8897,EROCIC,11.571,57.517
SS03_2021_1,SS03_2021,SS03,2021,03/30,1,0,8898,EROCIC,12.459,65.368
SS03_2021_1,SS03_2021,SS03,2021,03/30,1,0,8899,EROCIC,11.702,59.605
SS03_2021_1,SS03_2021,SS03,2021,03/30,1,0,8900,EROBRA,12.993,108.980
