Row Labels,ACMGLA,ACMMAR,ADEFAS,AMSMEN,ANAARV,BLOCRO,BRANIG,BRATOU,CALCAT,CALCIL,CALEXS,CALMAC,CALSPL,CALWED,CAMCAL,CAMMIC,CASEXS,Castilleja,CEACRA,CENMEL,CHAGLA,CLAPAR,CLAPUR,CRY,DEIFAS,DICCAP,EMMPEN,ENCCAL,ENCFAR,ERICAL,ERICON,ERIFAS,ERIFOL,EROBOT,EROBRA,EROCIC,EROMOS,ESCCAL,EUCCHR,FOEVUL,GILANG,HESWHI,HIRINC,HYPGLA,KECANT,LASCAL,LUPBIC,LUPSUC,LUPTRE,LUPTRU,MALFAS,MALSAX,MARMAC,MED,MEDPOL,MELIND,MICLIN,MIRLAE,OSMTEN,PHACIC,PHACRY,PHAPAR,PHOAUR,PSECAL,RAFCAL,ROMCOU,SALAPI,SALCOL,SALMAC,SALMEL,SANARG,SCRCAL,SILGAL,SILMAR,SISBEL,SOLXAN,SONASP,SONOLE,TRILAN,unk yellow succ,unknown white,Grand Total
I14_2021_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,5,,,219,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,309
I14_2021_2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,0,,,15,,46,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,75
I14_2021_3,0,,,,,,23,,,,,,,,,,0,,,,,,,,10,,,,,,,0,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,36
I14_2022_1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,42,,,135,,,,,,41,,,14,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,232
I14_2022_2,0,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,11,,13,,,26,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234
I14_2022_3,42,,,,,,68,,,,,,,,,,,,,,,,,,25,,,,,,,974,,,,10,,28,,,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1151
I15_2021_1,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
I15_2021_2,,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,42,,,,,7,,0,,,,6,,,,,,,,,,12,,,,,,,,,,,,,0,,,,,,0,,1,,,,71
I15_2021_3,3,,,,,,67,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,73
I15_2022_1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,6
I15_2022_2,70,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,119
I15_2022_3,1565,,,,,,516,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,5,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,2134
I20_2021_2,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,56
I20_2021_3,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
I20_2022_1,,,,,,,18,,,,,,,,,,,,0,,,,,,,2,,,,0,,2,,,,3,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,,,,,,,,,,,,367
I20_2022_2,110,,,,,,68,,,,,,3,,,,,,,,,,,,0,,,,,,0,0,,,,2,,21,,,,,,,,,,,,,0,,,,,,,,,,36,,,,,,,,,762,,,,,,,,,,,,1002
I20_2022_3,3,,,,,,2,,,,,,0,,,,,,,,,,,,94,,,,,,,11,693,,,,,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,859
I40_2021_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,25,,,,3,16,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,137
I40_2021_2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,9,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,3,0,,,,,,15
I40_2021_3,141,,,,,,17,,,,,0,0,,,,,,,,,,,,49,,,,,,22,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,115,,,2,,0,,,,,,,348
I40_2022_1,,,,,,,0,,,,,,,,,,4,,,,,,,,,,,,,,,,,0,,1,,27,1,,6,,,,,,4,,,0,,,,,,,,,,,,,,,,,,,,28,0,,,,,,,,,,,71
I40_2022_2,311,,,,,,3,,,,,,,,,,0,,,,,,,,4,,,,,,,,,12,6,14,,2,,,4,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,279,,,,,,,,,,,,640
I40_2022_3,5148,,,,,,167,,,,1,,1,,,,,,,,,,0,,25,,,4,,,411,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,0,,,296,,,,,0,,,,,,,6077
I50_2021_2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,,16,,10,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,37
I50_2021_3,860,,,,,,53,,,,,0,1,,,,,,,,,,0,,,,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915
I50_2022_1,1,,,,,,3,,,,,,,,,,,,,,,,,,,14,,,,20,,,,,5,15,,,,,4,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,400,0,,,,0,,,,,,,488
I50_2022_2,2555,,,,,,2,,,,,,3,,,,,,,,,,6,,,,,,,2,,,,0,,30,2,,,,,,,,,,,,,,0,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,2607
I50_2022_3,8839,,,,,,82,,,,,,1,,,,,,,,,,0,,5,,,,,,,0,0,,,4,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,8960
